Permutation,mAP50,mAP50-95,Precision,Recall
None_None_None,0.6498050216274092,0.4497398395576774,0.839383303955828,0.6327800829875518
None_None_DOS,0.7491861419216589,0.1663534797050094,0.9583066047521024,0.6993936599745728
None_contrast_None,0.696159270949112,0.5527392919277199,0.9238791988392963,0.6542185338865837
None_contrast_DOS,0.1436559815850978,0.016631304656770034,0.3906967568347486,0.2793914246196404
bkgCorr_None_None,0.7622400440398184,0.392036249356006,0.9620941564859417,0.7021068094373765
bkgCorr_None_DOS,0.7622400440398184,0.392036249356006,0.9620941564859417,0.7021068094373765
bkgCorr_contrast_None,0.7624096066001538,0.2978119321663722,0.9628791981592155,0.6996017152286109
bkgCorr_contrast_DOS,0.7595803193185887,0.4268082722751484,0.9704855823087094,0.6915629322268326
None_DOS_contrast,0.7418710433131084,0.2763280440412732,0.966593725381818,0.6936376210235131
bkgCorr_DOS_contrast,0.7624096066001538,0.2978119321663722,0.9628791981592155,0.6996017152286109
contrast_bkgCorr_None,0.7600837687217554,0.32282293520385974,0.9583543796541079,0.7053941908713693
contrast_bkgCorr_DOS,0.7600837687217554,0.32282293520385974,0.9583543796541079,0.7053941908713693
None_DOS_bkgCorr,0.7586953119643103,0.5354957148483519,0.9571822813497409,0.6956893588982108
contrast_DOS_bkgCorr,0.759797263151018,0.464156730446014,0.9694878870085921,0.7031562836849452
DOS_bkgCorr_contrast,0.7624096066001538,0.2978119321663722,0.9628791981592155,0.6996017152286109
DOS_contrast_bkgCorr,0.7628250304644209,0.42450750795789205,0.970886838523115,0.69432918395574
